avg_reflectance(%),uniformity(%),max_high_angle_R(%),delta_R_temp(%),avg_stress(MPa),layer1_thickness(nm),layer2_thickness(nm),layer3_thickness(nm),layer4_thickness(nm),layer5_thickness(nm),layer6_thickness(nm),layer7_thickness(nm)
7.1565,14.9465,9.6627,0.0003,35.8881,20.2026,24.9914,54.8522,108.5679,45.1267,59.1331,110.0744
2.9435,92.8417,12.7574,0.0119,28.8422,20.0089,139.9766,28.0974,110.9429,21.0334,139.1653,23.6199
11.4725,4.9019,13.3681,0.0009,38.1199,20.2256,24.9677,50.3200,29.4646,42.4797,59.1331,103.5377
2.0210,58.9796,4.3820,0.0076,29.3065,20.5198,77.5814,27.0680,107.0928,21.2281,139.5600,20.1569
1.6613,76.8691,6.6834,0.0050,29.2410,20.4110,75.2815,26.1910,108.9617,20.0144,139.8397,20.6006
0.9834,40.1479,1.8187,0.0012,39.5234,58.4261,33.9294,20.2747,38.7670,64.3269,20.0862,103.0205
3.0146,84.6070,12.3486,0.0108,28.6042,20.0174,139.8254,26.5587,115.6425,20.0801,138.9761,20.0523
16.5618,4.0426,18.2062,0.0010,35.4228,20.2796,43.7988,20.1030,53.2878,26.9156,67.2210,111.5156
17.2423,8.9122,20.9483,0.0016,30.5918,20.6900,41.3023,23.5766,116.2478,21.9260,67.9356,21.3183
0.4965,34.4156,0.7938,0.0008,39.8694,59.4649,32.6410,28.3426,34.5334,64.3269,20.0862,100.7613
3.1184,81.4498,12.6157,0.0096,28.4797,20.0538,139.9907,23.4401,119.4371,20.1710,138.6507,20.1823
6.2159,43.8761,2.9416,0.0165,28.5451,20.4958,139.9981,25.0402,139.7460,20.0022,117.4077,20.0252
8.9643,5.4847,10.1906,0.0015,37.9462,80.1818,26.5759,50.7224,39.1406,43.4610,57.6839,52.1163
20.4198,4.5929,22.4958,0.0017,31.1735,20.4101,44.7694,24.3699,104.7531,26.7977,131.8738,54.0655
5.1202,4.3232,4.7669,0.0026,33.6191,49.8364,137.4827,21.8726,70.1681,26.9818,67.5252,109.7086
14.6140,3.1397,16.0378,0.0014,32.8373,20.5607,42.1072,20.2025,61.4381,20.9984,69.8917,49.9956
0.7889,52.2839,0.7609,0.0036,31.0043,55.7072,35.1684,29.2992,125.9107,20.0181,135.7991,22.3408
20.1715,7.5087,23.1248,0.0012,32.5417,21.5162,41.3023,24.0606,41.2645,21.9350,64.1747,21.3183
14.9436,6.2738,17.7743,0.0009,32.9516,21.3615,44.5512,20.0974,56.9658,24.8125,66.2388,44.4428
6.1163,49.3196,2.1569,0.0173,28.7391,20.3802,139.0175,29.5759,138.4085,20.0295,114.4098,20.1136
